Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
AZTEK.IS,148.8,2024/02/20,15:37 TRT,6.600006,139.4,149.3,141.2,1261154,20231124,133.84,103.0,,,,
HATSN.IS,82.35,2024/02/20,15:37 TRT,-1.5,85.55,85.45,81.5,5101184,,22.6,9.0,,,,
EUPWR.IS,183.0,2024/02/20,15:37 TRT,4.800003,182.5,186.9,177.1,3941484,,173.85,200.0,,,,
TTRAK.IS,849.5,2024/02/20,15:37 TRT,-9.5,840.0,865.0,840.0,790457,,749.74,50.0,,,,
KONTR.IS,266.0,2024/02/20,15:37 TRT,6.0,267.0,270.75,257.0,5750694,,293.8,530.0,,,,
A1CAP.IS,32.42,2024/02/20,15:37 TRT,0.07999802,33.68,32.76,32.14,1152247,,40.69,2310.0,,,,
PGSUS.IS,829.0,2024/02/20,15:37 TRT,7.5,850.0,837.5,819.5,2105210,20220427,734.23,24.0,,,,
SISE.IS,53.35,2024/02/20,15:37 TRT,0.79999924,53.35,53.5,52.35,41560993,20220427,53.35,1600.0,,,,
THYAO.IS,282.25,2024/02/20,15:37 TRT,3.75,284.0,284.0,278.75,29636782,20220427,236.47,230.0,,,,
MGROS.IS,465.0,2024/02/20,15:37 TRT,11.5,453.0,476.0,456.25,1893426,20230921,372.87,250.0,,,,
TABGD.IS,139.8,2024/02/20,15:37 TRT,1.800003,142.4,141.4,136.3,3370625,20231117,167.99,201.0,,,,
GARAN.IS,68.1,2024/02/20,15:37 TRT,1.4000015,66.4,68.5,66.3,35440156,20231003,51.2,2300.0,,,,
HEKTS.IS,21.82,2024/02/20,15:37 TRT,0.10000038,22.7,22.36,21.74,62680953,20230824,25.76,1500.0,,,,
TKNSA.IS,44.3,2024/02/20,15:37 TRT,0.29999924,45.88,45.84,43.94,6923757,20231019,31.44,400.0,,,,
