"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"11.09.2023","BZY","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,022892","13.740.643.152,42","8.997","314.545.954,49"
"12.09.2023","BZY","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,022649","13.773.557.278,45","9.030","311.961.616,68"
"13.09.2023","BZY","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,022711","13.823.921.301,92","9.130","313.958.670,08"
"14.09.2023","BZY","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,022681","13.707.740.270,80","9.167","310.909.897,19"
"15.09.2023","BZY","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,022845","13.783.034.127,96","9.212","314.877.046,21"
"18.09.2023","BZY","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,022730","13.828.831.098,58","9.241","314.331.380,94"
"19.09.2023","BZY","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,022413","13.860.729.357,80","9.276","310.655.608,43"
"20.09.2023","BZY","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,022638","13.951.868.702,99","9.357","315.840.197,22"
"21.09.2023","BZY","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,022605","14.271.230.373,98","9.443","322.604.408,02"
"22.09.2023","BZY","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,022721","14.358.848.722,98","9.496","326.247.065,47"
