"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"12.06.2023","BZY","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,017781","9.020.312.756,55","5.949","160.394.203,36"
"13.06.2023","BZY","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,018136","9.102.800.776,47","5.984","165.084.760,89"
"14.06.2023","BZY","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,018149","9.202.120.040,98","6.034","167.010.366,01"
"15.06.2023","BZY","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,018178","9.291.153.902,64","6.075","168.898.973,99"
"16.06.2023","BZY","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,018286","9.376.566.035,20","6.121","171.463.195,43"
"19.06.2023","BZY","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,018356","9.785.432.509,32","6.198","179.619.390,73"
"20.06.2023","BZY","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,018130","10.170.170.099,16","6.257","184.386.077,01"
"21.06.2023","BZY","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,018002","10.439.048.605,91","6.324","187.922.600,59"
"22.06.2023","BZY","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,017700","10.615.505.512,89","6.365","187.896.828,29"
"23.06.2023","BZY","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,017961","10.849.517.310,45","6.365","194.872.681,30"
"26.06.2023","BZY","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,018707","11.015.260.087,34","6.437","206.065.090,71"
"27.06.2023","BZY","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,019146","11.102.141.982,36","6.495","212.562.605,96"
"03.07.2023","BZY","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,019465","11.194.883.355,42","6.584","217.913.165,92"
