"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"28.12.2023","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,183813","5.376.343.600,00","12.862","988.243.360,30"
"29.12.2023","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,184287","5.529.633.000,00","13.103","1.019.037.995,78"
"02.01.2024","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,184481","5.643.404.000,00","13.057","1.041.102.170,43"
"03.01.2024","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,185490","5.709.007.700,00","13.500","1.058.964.267,76"
"04.01.2024","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,184119","5.915.544.400,00","13.951","1.089.165.427,27"
"05.01.2024","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,183869","6.123.245.300,00","14.198","1.125.874.017,14"
"08.01.2024","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,183874","6.267.186.000,00","14.347","1.152.371.804,94"
"09.01.2024","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,184034","6.275.040.300,00","14.545","1.154.822.493,81"
"10.01.2024","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,183957","6.200.461.700,00","14.653","1.140.618.260,99"
"11.01.2024","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,184557","6.203.829.900,00","14.588","1.144.958.209,63"
"12.01.2024","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,185337","6.141.174.600,00","14.591","1.138.187.155,32"
"15.01.2024","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,186150","6.165.306.300,00","14.591","1.147.668.940,19"
"16.01.2024","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,186150","6.165.306.300,00","14.590","1.147.668.940,19"
"17.01.2024","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,185895","6.228.265.000,00","14.996","1.157.800.576,16"
"18.01.2024","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,185551","6.175.309.200,00","15.067","1.145.837.445,53"
"19.01.2024","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,186117","6.137.347.200,00","14.927","1.142.261.845,34"
"22.01.2024","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,186573","6.033.669.900,00","14.912","1.125.718.734,30"
"23.01.2024","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,186544","6.008.009.600,00","14.939","1.120.760.662,09"
"24.01.2024","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,186778","5.962.919.000,00","14.998","1.113.741.895,82"
"25.01.2024","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,187935","5.857.634.500,00","15.565","1.100.852.517,75"
"26.01.2024","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,187984","5.979.962.800,00","16.045","1.124.139.461,41"
"29.01.2024","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,188196","6.023.679.800,00","16.305","1.133.634.551,93"
"30.01.2024","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,188778","6.022.094.000,00","16.646","1.136.840.289,34"
"31.01.2024","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,189148","5.986.667.500,00","16.842","1.132.367.843,05"
"01.02.2024","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,188925","6.019.455.600,00","17.036","1.137.226.472,29"
"02.02.2024","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,189264","6.063.839.900,00","17.287","1.147.665.733,77"
"05.02.2024","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,189834","6.063.790.800,00","17.385","1.151.114.736,37"
"06.02.2024","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,190416","6.068.980.200,00","17.512","1.155.633.551,89"
"07.02.2024","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,190568","6.098.472.900,00","17.644","1.162.175.596,05"
"08.02.2024","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,191351","6.141.569.300,00","17.711","1.175.192.452,44"
"09.02.2024","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,191907","6.176.843.600,00","17.756","1.185.382.165,83"
"12.02.2024","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,192916","6.244.174.600,00","17.767","1.204.600.019,55"
"13.02.2024","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,193810","6.280.993.100,00","18.009","1.217.319.134,40"
"14.02.2024","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,193714","6.368.767.500,00","18.174","1.233.720.246,04"
"15.02.2024","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,193720","6.478.545.300,00","18.220","1.255.026.112,29"
"16.02.2024","DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","0,194505","6.566.578.900,00","18.408","1.277.230.900,09"
