"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"11.09.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,204283","481.390.899,00","358","98.339.949,26"
"12.09.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,204825","483.389.516,00","361","99.010.182,93"
"13.09.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,204916","502.618.061,00","374","102.994.350,51"
"14.09.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,205533","511.643.106,00","380","105.159.474,02"
"15.09.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,205278","514.409.413,00","393","105.597.084,15"
"18.09.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,205971","522.298.925,00","391","107.578.303,84"
"19.09.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,205589","520.320.539,00","395","106.972.158,81"
"20.09.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,204725","528.877.079,00","396","108.274.236,09"
"21.09.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,204774","531.888.102,00","393","108.916.896,71"
"22.09.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,204594","516.034.042,00","389","105.577.689,71"
"25.09.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,205926","514.880.431,00","383","106.027.050,74"
"26.09.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,206335","510.896.264,00","382","105.416.026,05"
"27.09.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,207209","511.258.661,00","380","105.937.230,15"
"28.09.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,207778","510.120.551,00","381","105.991.815,42"
"29.09.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,208142","509.984.263,00","386","106.149.318,01"
"02.10.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,208630","516.225.081,00","382","107.700.254,06"
"03.10.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,208779","510.757.581,00","382","106.635.627,07"
"04.10.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,209287","505.567.375,00","375","105.808.492,32"
"05.10.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,209644","506.148.237,00","377","106.110.779,00"
"06.10.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,209373","506.420.256,00","376","106.030.687,95"
"09.10.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,210252","500.167.047,00","373","105.161.240,81"
"10.10.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,210551","499.705.675,00","369","105.213.611,20"
"11.10.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,210252","497.588.527,00","368","104.619.042,87"
"12.10.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,210761","493.015.428,00","367","103.908.493,30"
"13.10.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,210194","492.459.454,00","370","103.512.080,58"
"16.10.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,210424","492.507.802,00","368","103.635.468,37"
"17.10.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,210316","489.324.811,00","364","102.913.008,49"
"18.10.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,210583","487.089.016,00","362","102.572.488,56"
"19.10.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,211567","488.253.439,00","361","103.298.225,58"
"20.10.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,211690","488.262.709,00","362","103.360.107,04"
"23.10.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,212042","491.876.165,00","359","104.298.580,84"
"24.10.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,212303","493.413.143,00","356","104.753.151,76"
"25.10.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,213326","493.273.238,00","358","105.227.983,11"
"26.10.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,213484","492.874.933,00","367","105.220.776,98"
"27.10.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,213048","500.067.968,00","374","106.538.262,86"
"30.10.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,214325","500.514.489,00","372","107.272.794,48"
"31.10.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,215286","502.450.913,00","374","108.170.791,06"
"01.11.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,215376","503.367.344,00","379","108.413.435,59"
"02.11.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,215454","503.746.033,00","380","108.533.898,63"
"03.11.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,216303","502.978.994,00","386","108.795.695,23"
"06.11.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,217205","499.077.840,00","393","108.402.063,39"
"07.11.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,218435","506.992.530,00","402","110.744.870,14"
"08.11.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,219445","512.013.125,00","408","112.358.521,00"
"09.11.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,220197","524.478.678,00","422","115.488.421,44"
"10.11.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,220493","558.147.584,00","434","123.067.409,71"
"13.11.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,221469","563.813.740,00","442","124.867.133,52"
"14.11.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,222735","569.522.701,00","476","126.852.560,72"
"15.11.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,223368","589.387.074,00","514","131.650.211,98"
"16.11.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,224807","637.785.842,00","549","143.378.718,88"
