"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"12.06.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,165929","415.218.700,00","279","68.896.857,34"
"13.06.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,166665","415.167.200,00","277","69.193.962,37"
"14.06.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,166729","414.126.218,00","277","69.046.760,52"
"15.06.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,166321","414.321.286,00","277","68.910.474,73"
"16.06.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,166839","412.803.102,00","277","68.871.470,57"
"19.06.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,166754","412.818.417,00","276","68.839.279,41"
"20.06.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,166365","412.780.730,00","273","68.672.165,57"
"21.06.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,166145","408.752.881,00","273","67.912.098,99"
"22.06.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,166403","408.487.462,00","272","67.973.602,99"
"23.06.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,167730","407.075.301,00","271","68.278.886,81"
"26.06.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,171089","406.973.609,00","273","69.628.766,35"
"27.06.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,174315","404.128.371,00","276","70.445.723,71"
"03.07.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,175029","405.359.129,00","278","70.949.645,54"
"04.07.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,177853","405.348.332,00","277","72.092.286,55"
"05.07.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,179350","405.752.683,00","280","72.771.742,31"
"06.07.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,180971","403.922.097,00","279","73.098.386,68"
"07.07.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,180162","411.308.406,00","279","74.102.058,32"
"10.07.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,180165","411.193.491,00","281","74.082.619,50"
"11.07.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,180176","411.273.074,00","282","74.101.356,93"
"12.07.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,180449","405.448.923,00","282","73.162.716,89"
"13.07.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,180539","403.641.416,00","282","72.872.862,39"
"14.07.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,180907","404.983.215,00","281","73.264.318,73"
"17.07.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,181620","404.818.804,00","281","73.523.020,65"
"18.07.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,182499","404.800.164,00","282","73.875.490,27"
"19.07.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,184405","416.251.779,00","287","76.758.798,41"
"20.07.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,184122","417.935.363,00","289","76.951.276,90"
"21.07.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,184743","417.869.456,00","291","77.198.362,94"
"24.07.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,185593","416.999.485,00","289","77.392.366,79"
"25.07.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,185799","417.049.744,00","291","77.487.249,76"
"26.07.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,185104","417.228.391,00","296","77.230.685,34"
"27.07.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,184997","418.291.889,00","295","77.382.775,71"
"28.07.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,185923","417.519.835,00","293","77.626.560,87"
"31.07.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,186572","416.993.832,00","291","77.799.458,96"
"01.08.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,189009","417.947.246,00","292","78.995.773,05"
"02.08.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,190154","419.076.956,00","296","79.689.267,19"
"03.08.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,190496","419.139.562,00","296","79.844.268,70"
"04.08.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,191148","418.033.382,00","297","79.906.210,08"
"07.08.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,192660","419.105.813,00","298","80.744.897,89"
"08.08.2023","EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","0,192951","421.421.184,00","295","81.313.760,06"
