"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"11.09.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,024845","8.082.961.038,03","7.743","200.820.327,54"
"12.09.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,024665","8.110.293.937,80","7.767","200.043.727,01"
"13.09.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,024588","8.130.095.807,61","7.808","199.900.730,44"
"14.09.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,024359","8.130.623.748,99","7.833","198.052.161,58"
"15.09.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,024324","8.152.627.801,15","7.865","198.304.044,71"
"18.09.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,024307","8.176.103.314,75","7.890","198.738.131,47"
"19.09.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,024115","8.151.265.633,85","7.922","196.567.775,27"
"20.09.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,024165","8.178.343.359,86","7.953","197.633.506,43"
"21.09.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,024217","8.223.411.287,31","7.974","199.149.251,62"
"22.09.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,024296","8.295.384.313,38","8.000","201.548.490,66"
"25.09.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,024505","8.570.186.950,63","8.043","210.016.429,16"
"26.09.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,025082","8.571.322.384,59","8.063","214.984.684,62"
"27.09.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,025380","8.563.745.456,06","8.068","217.350.320,04"
"28.09.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,025620","8.581.296.503,46","8.102","219.852.775,32"
"29.09.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,025859","8.575.055.179,53","8.122","221.742.871,17"
"02.10.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,025923","8.595.762.041,61","8.162","222.824.220,49"
"03.10.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,026423","8.623.052.183,03","8.162","227.843.530,88"
"04.10.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,026646","8.634.550.068,77","8.236","230.075.880,57"
"05.10.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,026605","8.635.835.409,33","8.255","229.752.501,41"
"06.10.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,026378","8.645.732.800,33","8.266","228.054.788,55"
"09.10.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,026780","8.663.065.480,97","8.308","231.995.232,79"
"10.10.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,026418","8.685.139.188,97","8.322","229.445.706,06"
"11.10.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,027029","8.721.268.598,72","8.375","235.730.337,61"
"12.10.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,026879","8.701.130.530,58","8.399","233.876.513,09"
"13.10.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,026757","8.707.445.517,29","8.439","232.982.626,20"
"16.10.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,026483","8.759.002.866,80","8.458","231.962.857,13"
"17.10.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,026341","8.802.898.366,57","8.478","231.873.402,50"
"18.10.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,026568","8.804.545.530,90","8.499","233.915.106,75"
"19.10.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,026433","8.844.012.359,28","8.545","233.775.495,37"
"20.10.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,026375","8.851.699.833,26","8.572","233.466.750,19"
"23.10.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,025679","8.868.322.912,73","8.594","227.725.360,56"
"24.10.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,025642","8.827.098.506,63","8.572","226.342.999,18"
"25.10.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,026073","8.820.823.887,50","8.599","229.983.651,28"
"26.10.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,025174","8.846.775.029,02","8.642","222.708.462,68"
"27.10.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,025180","8.936.540.405,70","8.686","225.026.184,34"
"30.10.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,024981","8.980.698.568,97","8.716","224.342.570,87"
"31.10.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,025238","9.026.174.838,00","8.746","227.800.790,55"
"01.11.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,025584","9.035.105.859,96","8.745","231.149.924,10"
"02.11.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,025563","9.090.237.866,51","8.778","232.376.566,15"
"03.11.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,026302","9.085.643.480,56","8.832","238.973.899,39"
"06.11.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,026910","8.871.067.304,71","8.835","238.721.568,07"
"07.11.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,027273","8.950.879.165,47","8.860","244.116.125,12"
"08.11.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,027217","9.061.691.460,87","8.909","246.632.324,81"
"09.11.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,027531","9.293.310.397,35","8.941","255.853.622,46"
"10.11.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,027774","9.404.057.335,32","8.962","261.191.384,64"
"13.11.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,027970","9.575.786.731,30","9.000","267.833.409,07"
"14.11.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,028178","9.609.269.822,12","9.034","270.766.831,98"
"15.11.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,028380","10.544.408.441,24","9.123","299.252.974,22"
"16.11.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,028351","10.610.738.112,71","9.147","300.828.778,77"
"17.11.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,028783","10.704.719.215,31","9.178","308.109.645,42"
"20.11.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,029047","10.809.187.278,51","9.224","313.969.395,22"
"21.11.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,029403","10.981.415.496,81","9.260","322.890.182,03"
"22.11.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,029665","11.188.077.322,06","9.260","331.899.579,61"
"23.11.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,029838","11.372.416.136,45","9.390","339.334.733,92"
"24.11.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,029924","11.625.048.394,39","9.446","347.871.334,65"
"27.11.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,029942","11.848.675.691,68","9.478","354.769.657,71"
"28.11.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,030498","11.937.986.302,76","9.553","364.085.260,06"
"29.11.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,030441","12.056.100.065,49","9.653","366.993.807,24"
"30.11.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,029901","12.245.650.869,11","9.698","366.158.213,66"
"01.12.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,030131","12.676.259.948,50","9.767","381.944.625,37"
"04.12.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,030052","12.943.360.601,99","9.837","388.979.972,88"
"05.12.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,029957","13.496.676.348,78","9.928","404.321.276,77"
"06.12.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,029753","13.800.814.635,38","10.022","410.612.705,61"
"07.12.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,029362","14.108.629.483,73","10.138","414.261.087,68"
"08.12.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,029421","14.387.120.297,88","10.211","423.279.220,40"
"11.12.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,029398","14.776.445.728,50","10.260","434.393.741,33"
