"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"12.06.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,018507","5.084.211.627,91","5.405","94.095.283,22"
"13.06.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,018948","5.194.976.568,57","5.428","98.432.009,29"
"14.06.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,018982","5.279.226.631,26","5.459","100.209.664,66"
"15.06.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,019074","5.308.201.795,41","5.459","101.247.600,28"
"16.06.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,019210","5.383.222.957,86","5.532","103.411.802,57"
"19.06.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,019205","5.426.302.287,44","5.559","104.211.132,35"
"20.06.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,019124","5.476.135.643,87","5.608","104.723.548,27"
"21.06.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,019024","5.553.856.107,10","5.672","105.657.258,49"
"22.06.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,018728","5.628.577.098,54","5.725","105.409.194,64"
"23.06.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,018843","5.668.246.091,85","5.753","106.804.159,17"
"26.06.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,019479","5.681.427.681,68","5.772","110.670.427,40"
"27.06.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,019895","5.750.130.425,16","5.814","114.399.091,10"
"03.07.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,020400","5.811.044.229,48","5.867","118.547.282,34"
"04.07.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,020585","5.853.790.679,65","5.900","120.498.759,44"
"05.07.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,020766","5.869.239.251,57","5.942","121.878.054,27"
"06.07.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,020943","5.871.984.136,40","5.963","122.978.557,22"
"07.07.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,020853","5.850.540.167,63","5.964","122.003.447,62"
"10.07.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,021037","5.878.217.119,65","6.014","123.662.071,16"
"11.07.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,021243","5.913.931.605,30","6.053","125.627.898,60"
"12.07.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,021413","5.966.339.465,30","6.136","127.758.947,80"
"13.07.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,021533","6.071.692.575,44","6.173","130.742.952,89"
"14.07.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,021804","6.175.408.602,76","6.222","134.646.882,68"
"17.07.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,021968","6.264.555.234,59","6.273","137.622.851,85"
"18.07.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,022071","6.320.520.928,16","6.316","139.499.979,29"
"19.07.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,022329","6.398.888.308,30","6.408","142.877.951,33"
"20.07.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,022692","6.469.248.012,52","6.408","146.797.759,95"
"21.07.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,022716","6.581.990.605,21","6.408","149.515.017,83"
"24.07.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,022700","6.677.125.905,30","6.539","151.573.071,80"
"25.07.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,022941","6.787.366.208,34","6.581","155.711.098,67"
"26.07.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,023186","6.853.655.724,22","6.638","158.905.728,27"
"27.07.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,023175","6.922.409.474,29","6.676","160.424.942,70"
"28.07.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,023398","6.988.787.190,18","6.728","163.521.289,73"
"31.07.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,023560","7.129.506.968,09","6.777","167.971.193,97"
"01.08.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,023693","7.384.927.970,95","6.820","174.967.497,75"
"02.08.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,023681","7.654.535.319,82","6.885","181.263.450,55"
"03.08.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,023505","7.803.287.309,15","6.950","183.414.583,72"
"04.08.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,023488","7.799.957.591,52","7.004","183.205.258,87"
"07.08.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,023371","7.834.356.731,02","7.034","183.098.964,14"
"08.08.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,023693","7.855.720.816,65","7.081","186.128.672,21"
"09.08.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,023653","7.895.130.761,14","7.118","186.747.004,69"
"10.08.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,023712","7.988.901.318,32","7.158","189.433.969,81"
"11.08.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,023576","8.015.062.765,59","7.192","188.963.973,49"
"14.08.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,023485","8.021.573.013,69","7.214","188.390.258,51"
"15.08.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,023406","8.034.793.327,88","7.226","188.065.963,79"
"16.08.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,023503","8.046.741.789,50","7.281","189.126.427,45"
"17.08.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,023318","7.994.628.906,93","7.310","186.415.813,62"
"18.08.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,023280","7.948.772.838,39","7.331","185.048.550,43"
"21.08.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,022881","7.965.902.248,52","7.340","182.264.654,95"
"22.08.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,023241","7.948.072.638,45","7.339","184.721.514,21"
"23.08.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,023352","7.936.308.413,83","7.339","185.330.837,41"
"24.08.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,023435","7.950.595.395,82","7.352","186.319.736,01"
"25.08.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,023309","7.949.650.851,16","7.376","185.297.286,41"
"28.08.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,022919","7.939.527.075,78","7.397","181.966.398,56"
"29.08.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,023166","7.957.485.167,19","7.438","184.340.249,89"
"31.08.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,023533","7.896.081.202,08","7.465","185.819.811,53"
"01.09.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,024282","7.868.638.306,54","7.471","191.069.168,05"
"04.09.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,024403","7.916.047.778,02","7.521","193.174.086,40"
"05.09.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,024467","7.932.826.973,92","7.574","194.090.798,19"
"06.09.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,024583","8.014.441.407,13","7.617","197.020.258,63"
"07.09.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,024682","8.029.464.949,58","7.651","198.185.192,63"
"08.09.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,024721","8.053.824.805,84","7.685","199.100.311,51"
"11.09.2023","FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","0,024845","8.082.961.038,03","7.743","200.820.327,54"
