"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"11.09.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,027542","1.359.844.537,71","1.145","37.452.720,94"
"12.09.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,027537","1.501.335.280,64","1.175","41.342.595,22"
"13.09.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,027617","1.533.285.506,80","1.213","42.344.201,92"
"14.09.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,027618","1.611.271.809,22","1.246","44.500.290,45"
"15.09.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,028206","1.664.040.823,66","1.295","46.936.182,06"
"18.09.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,028601","1.744.696.493,95","1.328","49.899.538,53"
"19.09.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,028832","1.960.503.798,45","1.348","56.524.573,52"
"20.09.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,029206","2.021.854.808,47","1.367","59.051.004,53"
"21.09.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,029503","2.135.630.054,67","1.393","63.006.826,69"
"22.09.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,030134","2.194.580.876,87","1.431","66.131.076,93"
"25.09.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,030321","2.324.507.358,42","1.473","70.481.096,02"
"26.09.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,030553","2.517.832.192,38","1.543","76.927.496,06"
"27.09.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,030519","2.730.727.922,78","1.578","83.339.019,99"
"28.09.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,030528","2.933.937.160,35","1.620","89.567.534,58"
"29.09.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,030645","3.146.828.561,02","1.655","96.434.593,11"
"02.10.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,030963","3.413.915.851,65","1.693","105.703.856,62"
"03.10.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,031214","3.580.860.944,07","1.693","111.774.584,90"
"04.10.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,031431","3.704.017.228,29","1.802","116.421.788,80"
"05.10.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,031457","3.807.849.027,53","1.845","119.783.588,09"
"06.10.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,031815","4.086.347.279,90","1.901","130.008.662,79"
"09.10.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,032170","4.251.119.102,02","1.928","136.759.282,12"
"10.10.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,031893","4.556.468.189,18","1.989","145.317.865,26"
"11.10.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,032581","4.718.157.129,05","2.049","153.721.430,94"
"12.10.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,032403","5.004.039.376,83","2.089","162.147.054,85"
"13.10.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,032309","5.127.307.256,26","2.148","165.659.475,31"
"16.10.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,032049","5.364.128.692,65","2.192","171.914.219,59"
"17.10.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,031934","5.780.363.327,69","2.232","184.590.509,61"
"18.10.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,032253","6.036.650.119,02","2.269","194.698.778,25"
"19.10.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,032088","6.405.984.307,35","2.323","205.552.183,04"
