"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"12.06.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,017190","579.897.952,43","743","9.968.627,36"
"13.06.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,017151","632.719.934,53","758","10.851.829,68"
"14.06.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,017038","688.202.971,92","787","11.725.300,94"
"15.06.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,017098","686.672.004,64","787","11.740.466,21"
"16.06.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,017536","672.620.601,21","780","11.795.250,84"
"19.06.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,017772","678.418.557,55","783","12.057.182,37"
"20.06.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,017795","685.069.439,82","785","12.190.888,56"
"21.06.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,017599","684.867.409,68","785","12.052.964,45"
"22.06.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,017430","684.537.722,92","783","11.931.811,29"
"23.06.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,017704","678.674.273,34","787","12.015.102,61"
"26.06.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,018293","680.632.056,76","792","12.451.016,69"
"27.06.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,018709","684.422.749,76","793","12.805.150,92"
"03.07.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,018826","696.868.190,95","803","13.119.284,96"
"04.07.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,019238","700.577.347,04","802","13.477.602,87"
"05.07.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,019275","708.969.308,27","809","13.665.672,43"
"06.07.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,019297","721.404.134,28","816","13.921.022,74"
"07.07.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,019243","731.947.916,98","864","14.084.893,94"
"10.07.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,019394","725.033.987,65","859","14.061.616,07"
"11.07.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,019577","729.054.039,93","857","14.272.797,35"
"12.07.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,019783","733.534.157,74","859","14.511.813,63"
"13.07.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,019742","730.050.683,26","855","14.412.629,38"
"14.07.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,019957","731.090.978,46","853","14.590.191,69"
"17.07.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,020094","731.612.898,08","852","14.701.379,58"
"18.07.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,020333","733.255.310,91","846","14.909.535,82"
"19.07.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,020274","774.054.187,55","847","15.692.828,10"
"20.07.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,020641","765.528.889,88","847","15.801.533,34"
"21.07.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,020847","768.205.900,09","847","16.014.743,61"
"24.07.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,020846","757.750.440,74","836","15.796.351,97"
"25.07.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,021008","758.158.756,88","832","15.927.160,54"
"26.07.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,021048","839.293.243,57","831","17.665.032,52"
"27.07.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,021168","842.847.467,94","832","17.841.172,82"
"28.07.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,021620","689.942.042,11","829","14.916.234,93"
"31.07.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,022407","693.479.614,32","826","15.538.940,33"
"01.08.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,023199","697.174.868,29","822","16.173.633,28"
"02.08.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,023401","687.222.434,83","830","16.081.790,61"
"03.08.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,023448","695.726.256,33","839","16.313.441,81"
"04.08.2023","FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","0,023503","708.427.616,17","840","16.650.403,68"
