"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"11.09.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,133380","6.267.747.327,39","6.292","835.989.019,36"
"12.09.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,133131","6.259.129.793,39","6.287","833.284.971,60"
"13.09.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,133045","6.253.566.078,39","6.273","832.008.590,86"
"14.09.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,133377","6.216.674.999,39","6.280","829.162.042,70"
"15.09.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,132693","6.211.623.218,39","6.275","824.237.245,21"
"18.09.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,133059","6.189.754.108,39","6.307","823.600.013,76"
"19.09.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,133497","6.177.889.852,39","6.328","824.728.433,83"
"20.09.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,134064","6.159.391.923,39","6.341","825.753.327,47"
"21.09.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,134204","6.120.753.159,39","6.356","821.430.600,49"
"22.09.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,133818","6.111.275.946,39","6.352","817.798.361,42"
"25.09.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,134221","6.097.362.603,39","6.359","818.391.092,91"
"26.09.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,134128","6.103.130.664,39","6.353","818.602.374,71"
"27.09.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,134492","6.074.224.536,39","6.318","816.935.603,35"
"28.09.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,132811","6.051.377.662,39","6.323","803.689.152,37"
"29.09.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,132206","6.051.502.713,39","6.348","800.047.527,23"
"02.10.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,131517","6.048.629.616,39","6.370","795.498.295,09"
"03.10.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,130566","6.041.282.915,39","6.380","788.785.148,34"
"04.10.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,129569","6.041.878.468,39","6.375","782.837.198,68"
"05.10.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,131423","6.012.452.900,39","6.377","790.175.418,34"
"06.10.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,129806","6.077.478.169,39","6.377","788.892.590,17"
"09.10.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,129687","6.081.716.183,39","6.374","788.718.901,95"
"10.10.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,131274","6.085.054.454,39","6.411","798.808.899,23"
"11.10.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,134713","6.109.042.664,39","6.421","822.969.305,03"
"12.10.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,133931","6.132.955.475,39","6.434","821.393.771,85"
"13.10.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,135629","6.112.137.023,39","6.447","828.985.775,72"
"16.10.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,135036","6.120.092.980,39","6.461","826.429.948,57"
"17.10.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,136761","6.140.302.998,39","6.466","839.751.408,51"
"18.10.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,137572","6.198.076.376,39","6.472","852.684.338,32"
"19.10.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,144695","6.212.552.746,39","6.488","898.923.435,28"
"20.10.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,140003","6.274.509.212,39","6.555","878.447.120,97"
"23.10.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,141316","6.312.933.612,39","6.615","892.115.636,37"
"24.10.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,142006","6.334.751.978,39","6.636","899.571.905,42"
"25.10.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,142827","6.363.912.973,39","6.626","908.936.433,61"
"26.10.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,145586","6.338.891.370,39","6.623","922.850.909,13"
"27.10.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,142578","6.329.342.394,39","6.666","902.424.056,69"
