"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"28.12.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,154396","5.404.190.098,39","7.022","834.385.657,43"
"29.12.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,155191","5.455.841.527,39","7.112","846.697.242,26"
"02.01.2024","FIB","FİBA PORTFÖY ALTIN FONU","0,157377","5.450.125.886,39","7.140","857.722.899,78"
"03.01.2024","FIB","FİBA PORTFÖY ALTIN FONU","0,158321","5.489.351.200,39","7.165","869.078.153,78"
"04.01.2024","FIB","FİBA PORTFÖY ALTIN FONU","0,158083","5.540.685.731,39","7.190","875.890.684,34"
"05.01.2024","FIB","FİBA PORTFÖY ALTIN FONU","0,157924","5.533.345.314,39","7.224","873.846.358,32"
"08.01.2024","FIB","FİBA PORTFÖY ALTIN FONU","0,156923","5.550.454.370,39","7.248","870.992.949,22"
"09.01.2024","FIB","FİBA PORTFÖY ALTIN FONU","0,157247","5.548.674.329,39","7.245","872.513.821,15"
"10.01.2024","FIB","FİBA PORTFÖY ALTIN FONU","0,156629","5.565.001.658,39","7.265","871.638.813,41"
"11.01.2024","FIB","FİBA PORTFÖY ALTIN FONU","0,156618","5.802.405.687,39","7.291","908.763.515,90"
"12.01.2024","FIB","FİBA PORTFÖY ALTIN FONU","0,158881","5.804.650.664,39","7.310","922.251.381,88"
"15.01.2024","FIB","FİBA PORTFÖY ALTIN FONU","0,157942","5.745.415.700,39","7.342","907.443.343,33"
"16.01.2024","FIB","FİBA PORTFÖY ALTIN FONU","0,157948","5.776.066.114,39","7.368","912.320.524,16"
"17.01.2024","FIB","FİBA PORTFÖY ALTIN FONU","0,162675","5.937.955.637,39","7.395","965.954.269,36"
"18.01.2024","FIB","FİBA PORTFÖY ALTIN FONU","0,158988","6.014.283.797,39","7.435","956.196.635,62"
"19.01.2024","FIB","FİBA PORTFÖY ALTIN FONU","0,160345","6.063.758.087,39","7.517","972.292.670,30"
"22.01.2024","FIB","FİBA PORTFÖY ALTIN FONU","0,162195","6.096.658.997,39","7.560","988.847.082,39"
"23.01.2024","FIB","FİBA PORTFÖY ALTIN FONU","0,159205","6.250.051.700,39","7.634","995.036.543,55"
"24.01.2024","FIB","FİBA PORTFÖY ALTIN FONU","0,163725","6.346.500.861,39","7.702","1.039.079.261,18"
"25.01.2024","FIB","FİBA PORTFÖY ALTIN FONU","0,161381","6.396.670.708,39","7.735","1.032.301.097,46"
"26.01.2024","FIB","FİBA PORTFÖY ALTIN FONU","0,156050","6.450.199.465,39","7.782","1.006.551.192,29"
"29.01.2024","FIB","FİBA PORTFÖY ALTIN FONU","0,160206","6.445.578.782,39","7.799","1.032.623.008,09"
"30.01.2024","FIB","FİBA PORTFÖY ALTIN FONU","0,162487","6.463.809.364,39","7.799","1.050.287.506,72"
"31.01.2024","FIB","FİBA PORTFÖY ALTIN FONU","0,162876","6.471.815.421,39","7.822","1.054.105.837,13"
"01.02.2024","FIB","FİBA PORTFÖY ALTIN FONU","0,160315","6.488.836.339,39","7.850","1.040.259.092,71"
"02.02.2024","FIB","FİBA PORTFÖY ALTIN FONU","0,162000","6.361.872.487,39","7.875","1.030.621.857,40"
"05.02.2024","FIB","FİBA PORTFÖY ALTIN FONU","0,160097","6.382.724.521,39","7.914","1.021.854.746,09"
"06.02.2024","FIB","FİBA PORTFÖY ALTIN FONU","0,159166","6.384.669.446,39","7.946","1.016.222.226,12"
"07.02.2024","FIB","FİBA PORTFÖY ALTIN FONU","0,158930","6.413.757.339,39","7.945","1.019.337.824,28"
"08.02.2024","FIB","FİBA PORTFÖY ALTIN FONU","0,158009","6.411.841.856,39","7.948","1.013.130.550,62"
"09.02.2024","FIB","FİBA PORTFÖY ALTIN FONU","0,160115","6.425.306.571,39","7.946","1.028.789.240,94"
"12.02.2024","FIB","FİBA PORTFÖY ALTIN FONU","0,161144","6.371.423.847,39","7.953","1.026.716.847,02"
"13.02.2024","FIB","FİBA PORTFÖY ALTIN FONU","0,159658","6.358.772.218,39","7.967","1.015.230.579,07"
"14.02.2024","FIB","FİBA PORTFÖY ALTIN FONU","0,161183","6.317.784.561,39","7.952","1.018.321.674,83"
"15.02.2024","FIB","FİBA PORTFÖY ALTIN FONU","0,157808","6.308.398.941,39","7.997","995.516.131,97"
"16.02.2024","FIB","FİBA PORTFÖY ALTIN FONU","0,156964","6.532.831.918,39","8.039","1.025.421.566,66"
"19.02.2024","FIB","FİBA PORTFÖY ALTIN FONU","0,158626","6.780.418.886,39","8.083","1.075.553.446,83"
"20.02.2024","FIB","FİBA PORTFÖY ALTIN FONU","0,157756","6.894.588.079,39","8.069","1.087.664.424,58"
"21.02.2024","FIB","FİBA PORTFÖY ALTIN FONU","0,163273","6.871.981.382,39","8.077","1.122.010.426,60"
