"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"12.06.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,117270","6.980.946.107,39","6.225","818.655.071,72"
"13.06.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,117614","6.962.617.839,39","6.230","818.898.284,87"
"14.06.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,118351","6.964.125.501,39","6.225","824.213.026,47"
"15.06.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,116758","6.772.157.901,39","6.221","790.700.877,51"
"16.06.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,116161","6.770.468.411,39","6.187","786.466.644,64"
"19.06.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,117853","6.565.872.249,39","6.162","773.807.988,89"
"20.06.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,116776","6.561.283.628,39","6.105","766.197.887,52"
"21.06.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,116822","6.458.115.330,39","6.061","754.451.227,68"
"22.06.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,115556","6.294.230.837,39","6.031","727.335.571,50"
"23.06.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,115553","6.068.603.156,39","6.018","701.243.408,66"
"26.06.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,122968","6.056.887.047,39","6.033","744.803.801,02"
"27.06.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,126242","6.065.505.940,39","6.053","765.719.037,39"
"03.07.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,126323","6.078.816.188,39","6.060","767.893.542,41"
"04.07.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,126965","6.067.253.003,39","6.063","770.330.755,86"
"05.07.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,127944","6.020.881.750,39","6.074","770.333.433,63"
"06.07.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,127928","6.035.679.925,39","6.079","772.131.168,80"
"07.07.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,127658","6.052.945.009,39","6.088","772.707.258,21"
"10.07.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,127314","6.028.102.133,39","6.093","767.463.962,23"
"11.07.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,127475","6.003.153.621,39","6.093","765.251.247,01"
"12.07.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,128016","5.999.266.027,39","6.098","768.002.011,04"
"13.07.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,128376","5.962.797.591,39","6.105","765.478.562,97"
"14.07.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,129992","5.953.892.628,39","6.108","773.959.584,34"
"17.07.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,129991","5.971.455.391,39","6.116","776.233.940,45"
"18.07.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,130659","5.989.198.071,39","6.117","782.545.201,01"
"19.07.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,134117","5.986.221.455,39","6.158","802.852.867,73"
"20.07.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,135405","6.023.704.055,39","6.185","815.638.849,00"
"21.07.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,135556","6.108.272.939,39","6.194","828.011.977,53"
"24.07.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,134905","6.118.102.466,39","6.211","825.360.960,55"
"25.07.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,134768","6.160.667.267,39","6.225","830.261.477,00"
"26.07.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,134089","6.171.739.277,39","6.232","827.563.268,66"
"27.07.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,134955","6.196.741.494,39","6.246","836.284.138,35"
"28.07.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,135095","6.222.820.588,39","6.249","840.674.984,34"
"31.07.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,133966","6.235.609.304,39","6.257","835.359.277,49"
"01.08.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,134047","6.230.205.095,39","6.240","835.137.558,10"
"02.08.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,134078","6.223.309.363,39","6.234","834.406.548,53"
"03.08.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,134032","6.248.427.638,39","6.237","837.488.813,75"
"04.08.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,132844","6.245.332.109,39","6.230","829.654.777,23"
"07.08.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,132813","6.210.506.608,39","6.227","824.834.121,76"
"08.08.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,133012","6.236.797.666,39","6.205","829.570.518,59"
"09.08.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,134349","6.193.838.968,39","6.201","832.133.933,33"
"10.08.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,132594","6.182.668.738,39","6.213","819.781.871,99"
"11.08.2023","FIB","FİBA PORTFÖY ALTIN FONU","0,132103","6.184.092.171,39","6.210","816.934.975,56"
