"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"11.09.2023","GCN","GARANTİ EMEKLİLİK VE HAYAT A.Ş. METAVERSE VE TEKNOLOJİLER HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","0,020903","17.690.665.771,88","16.103","369.790.491,11"
"12.09.2023","GCN","GARANTİ EMEKLİLİK VE HAYAT A.Ş. METAVERSE VE TEKNOLOJİLER HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","0,020731","17.833.152.201,73","16.194","369.704.930,90"
"13.09.2023","GCN","GARANTİ EMEKLİLİK VE HAYAT A.Ş. METAVERSE VE TEKNOLOJİLER HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","0,020790","17.898.230.885,15","16.340","372.110.983,03"
"14.09.2023","GCN","GARANTİ EMEKLİLİK VE HAYAT A.Ş. METAVERSE VE TEKNOLOJİLER HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","0,020510","17.923.189.735,03","16.452","367.595.675,16"
"15.09.2023","GCN","GARANTİ EMEKLİLİK VE HAYAT A.Ş. METAVERSE VE TEKNOLOJİLER HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","0,020512","18.071.308.404,29","16.488","370.675.719,21"
"18.09.2023","GCN","GARANTİ EMEKLİLİK VE HAYAT A.Ş. METAVERSE VE TEKNOLOJİLER HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","0,020314","18.242.738.194,41","16.573","370.580.748,71"
"19.09.2023","GCN","GARANTİ EMEKLİLİK VE HAYAT A.Ş. METAVERSE VE TEKNOLOJİLER HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","0,019883","18.130.463.083,45","16.677","360.486.880,96"
"20.09.2023","GCN","GARANTİ EMEKLİLİK VE HAYAT A.Ş. METAVERSE VE TEKNOLOJİLER HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","0,019988","18.195.531.497,53","16.850","363.689.659,63"
"21.09.2023","GCN","GARANTİ EMEKLİLİK VE HAYAT A.Ş. METAVERSE VE TEKNOLOJİLER HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","0,019816","18.312.751.462,93","16.942","362.887.204,91"
"22.09.2023","GCN","GARANTİ EMEKLİLİK VE HAYAT A.Ş. METAVERSE VE TEKNOLOJİLER HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","0,019921","18.507.026.501,21","16.979","368.684.946,39"
"25.09.2023","GCN","GARANTİ EMEKLİLİK VE HAYAT A.Ş. METAVERSE VE TEKNOLOJİLER HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","0,020104","18.626.692.601,94","17.044","374.464.194,50"
"26.09.2023","GCN","GARANTİ EMEKLİLİK VE HAYAT A.Ş. METAVERSE VE TEKNOLOJİLER HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","0,020332","18.696.469.222,28","17.070","380.144.401,12"
"27.09.2023","GCN","GARANTİ EMEKLİLİK VE HAYAT A.Ş. METAVERSE VE TEKNOLOJİLER HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","0,020153","18.713.935.582,38","17.154","377.148.570,20"
"28.09.2023","GCN","GARANTİ EMEKLİLİK VE HAYAT A.Ş. METAVERSE VE TEKNOLOJİLER HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","0,020227","18.780.227.316,63","17.191","379.861.263,77"
"29.09.2023","GCN","GARANTİ EMEKLİLİK VE HAYAT A.Ş. METAVERSE VE TEKNOLOJİLER HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","0,020183","18.742.525.681,36","17.204","378.278.904,91"
"02.10.2023","GCN","GARANTİ EMEKLİLİK VE HAYAT A.Ş. METAVERSE VE TEKNOLOJİLER HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","0,020720","18.819.232.545,91","17.251","389.936.250,63"
"03.10.2023","GCN","GARANTİ EMEKLİLİK VE HAYAT A.Ş. METAVERSE VE TEKNOLOJİLER HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","0,020927","18.937.682.667,72","17.311","396.302.922,35"
"04.10.2023","GCN","GARANTİ EMEKLİLİK VE HAYAT A.Ş. METAVERSE VE TEKNOLOJİLER HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","0,021107","18.930.837.629,58","17.416","399.574.904,01"
"05.10.2023","GCN","GARANTİ EMEKLİLİK VE HAYAT A.Ş. METAVERSE VE TEKNOLOJİLER HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","0,020942","19.051.944.759,26","17.531","398.990.553,88"
"06.10.2023","GCN","GARANTİ EMEKLİLİK VE HAYAT A.Ş. METAVERSE VE TEKNOLOJİLER HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","0,021090","19.101.084.280,67","17.586","402.833.619,84"
"09.10.2023","GCN","GARANTİ EMEKLİLİK VE HAYAT A.Ş. METAVERSE VE TEKNOLOJİLER HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","0,021086","19.162.278.817,86","17.645","404.060.382,32"
"10.10.2023","GCN","GARANTİ EMEKLİLİK VE HAYAT A.Ş. METAVERSE VE TEKNOLOJİLER HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","0,021009","19.089.387.261,10","17.685","401.054.743,64"
"11.10.2023","GCN","GARANTİ EMEKLİLİK VE HAYAT A.Ş. METAVERSE VE TEKNOLOJİLER HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","0,021407","19.094.723.902,39","17.800","408.759.445,31"
