"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"12.06.2023","GCN","GARANTİ EMEKLİLİK VE HAYAT A.Ş. METAVERSE VE TEKNOLOJİLER HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","0,015623","12.804.986.876,67","12.353","200.046.510,21"
"13.06.2023","GCN","GARANTİ EMEKLİLİK VE HAYAT A.Ş. METAVERSE VE TEKNOLOJİLER HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","0,015749","12.964.339.342,89","12.483","204.172.767,55"
"14.06.2023","GCN","GARANTİ EMEKLİLİK VE HAYAT A.Ş. METAVERSE VE TEKNOLOJİLER HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","0,015675","13.118.872.781,06","12.522","205.637.992,62"
"15.06.2023","GCN","GARANTİ EMEKLİLİK VE HAYAT A.Ş. METAVERSE VE TEKNOLOJİLER HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","0,015583","13.300.601.725,25","12.622","207.264.149,39"
"16.06.2023","GCN","GARANTİ EMEKLİLİK VE HAYAT A.Ş. METAVERSE VE TEKNOLOJİLER HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","0,015748","13.450.356.194,93","12.657","211.819.330,26"
"19.06.2023","GCN","GARANTİ EMEKLİLİK VE HAYAT A.Ş. METAVERSE VE TEKNOLOJİLER HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","0,015874","13.642.975.258,77","12.694","216.567.941,06"
"20.06.2023","GCN","GARANTİ EMEKLİLİK VE HAYAT A.Ş. METAVERSE VE TEKNOLOJİLER HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","0,015531","13.819.010.261,16","12.729","214.619.250,79"
"21.06.2023","GCN","GARANTİ EMEKLİLİK VE HAYAT A.Ş. METAVERSE VE TEKNOLOJİLER HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","0,015345","13.623.487.154,12","12.766","209.054.185,40"
"22.06.2023","GCN","GARANTİ EMEKLİLİK VE HAYAT A.Ş. METAVERSE VE TEKNOLOJİLER HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","0,015136","13.655.341.107,49","12.810","206.683.316,60"
"23.06.2023","GCN","GARANTİ EMEKLİLİK VE HAYAT A.Ş. METAVERSE VE TEKNOLOJİLER HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","0,015420","13.921.085.761,78","12.816","214.656.294,99"
"26.06.2023","GCN","GARANTİ EMEKLİLİK VE HAYAT A.Ş. METAVERSE VE TEKNOLOJİLER HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","0,016055","14.008.526.047,27","12.818","224.913.387,26"
"27.06.2023","GCN","GARANTİ EMEKLİLİK VE HAYAT A.Ş. METAVERSE VE TEKNOLOJİLER HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","0,016533","14.081.156.748,08","12.859","232.798.884,63"
