"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"28.12.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,911585","68.326.499,00","478","198.938.441,73"
"29.12.2023","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,921573","68.710.467,00","494","200.742.626,88"
"02.01.2024","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,921163","69.305.942,00","508","202.453.931,75"
"03.01.2024","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,924052","69.477.252,00","529","203.155.072,86"
"04.01.2024","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,922723","70.391.874,00","534","205.735.914,04"
"05.01.2024","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,918827","67.183.199,00","546","196.096.122,22"
"08.01.2024","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,902958","67.737.051,00","553","196.637.788,50"
"09.01.2024","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,912705","68.249.064,00","554","198.789.401,50"
"10.01.2024","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,921110","67.504.316,00","557","197.187.544,96"
"11.01.2024","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,930386","66.335.070,00","549","194.387.344,01"
"12.01.2024","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,931405","66.264.657,00","549","194.248.542,57"
"15.01.2024","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,949916","66.133.235,00","544","195.087.461,97"
"16.01.2024","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,947437","66.073.611,00","542","194.747.791,89"
"17.01.2024","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,928400","66.148.628,00","541","193.709.631,84"
"18.01.2024","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,908899","65.925.494,00","542","191.770.607,52"
"19.01.2024","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,903069","67.286.784,00","536","195.338.165,54"
"22.01.2024","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,893589","67.254.173,00","529","194.605.942,19"
"23.01.2024","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,921280","66.691.496,00","528","194.824.556,06"
"24.01.2024","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,910131","66.000.695,00","519","192.070.660,48"
"25.01.2024","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,912932","66.148.355,00","508","192.685.684,57"
"26.01.2024","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,908403","66.129.218,00","504","192.330.439,56"
"29.01.2024","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,909051","65.755.647,00","502","191.286.509,85"
"30.01.2024","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,925095","65.213.008,00","497","190.754.269,20"
"31.01.2024","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,943602","64.988.319,00","491","191.299.743,21"
"01.02.2024","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,964054","64.901.570,00","482","192.371.736,00"
"02.02.2024","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,988319","64.695.167,00","482","193.329.775,73"
"05.02.2024","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,974058","64.557.937,00","482","191.999.042,26"
"06.02.2024","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,944639","64.369.293,00","484","189.544.313,00"
"07.02.2024","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,941230","63.207.277,00","483","185.907.169,88"
"08.02.2024","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,951420","62.815.185,00","480","185.393.995,33"
"09.02.2024","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,937840","62.691.016,00","475","184.176.193,77"
"12.02.2024","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,937166","62.515.585,00","469","183.618.645,56"
"13.02.2024","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,942116","62.435.143,00","470","183.691.447,01"
"14.02.2024","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,919859","62.523.191,00","467","182.558.917,48"
"15.02.2024","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,914546","62.385.932,00","464","181.826.664,62"
"16.02.2024","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,938348","62.152.213,00","463","182.624.810,14"
"19.02.2024","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,917810","62.165.651,00","464","181.387.541,43"
"20.02.2024","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,926700","62.100.740,00","465","181.750.214,79"
"21.02.2024","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,934985","61.997.612,00","468","181.962.078,47"
"22.02.2024","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,941324","62.047.200,00","462","182.500.919,82"
"23.02.2024","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,936909","61.984.347,00","460","182.042.417,09"
"26.02.2024","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,950487","61.851.074,00","461","182.490.812,91"
"27.02.2024","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,973126","62.216.006,00","459","184.976.018,20"
"28.02.2024","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,962070","62.291.973,00","458","184.513.189,52"
"29.02.2024","GTY","GARANTİ PORTFÖY TREND SERBEST FON","2,966328","62.499.273,00","459","185.393.317,25"
