"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"11.09.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,590894","241.585.491,00","5.192","867.507.978,89"
"12.09.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,570907","241.954.356,00","5.218","863.996.435,41"
"13.09.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,568535","241.607.500,00","5.238","862.184.845,12"
"14.09.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,542571","239.903.541,00","5.230","849.875.273,12"
"15.09.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,567319","240.272.759,00","5.218","857.129.585,30"
"18.09.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,541171","240.554.792,00","5.222","851.845.748,34"
"19.09.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,503747","240.666.669,00","5.222","843.235.142,35"
"20.09.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,525421","240.169.752,00","5.239","846.699.421,71"
"21.09.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,540980","238.722.721,00","5.208","845.312.404,37"
"22.09.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,507356","238.448.110,00","5.198","836.322.521,14"
"25.09.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,539371","238.528.210,00","5.214","844.239.926,91"
"26.09.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,571854","240.038.840,00","5.256","857.383.704,44"
"27.09.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,543993","238.572.655,00","5.275","845.499.875,50"
"28.09.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,531849","234.843.030,00","5.272","829.430.156,51"
"29.09.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,519907","231.586.076,00","5.259","815.161.506,84"
"02.10.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,594223","232.279.763,00","5.267","834.865.300,51"
"03.10.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,606890","233.469.812,00","5.305","842.099.896,62"
"04.10.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,620992","234.124.776,00","5.322","847.763.944,98"
"05.10.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,598972","234.551.248,00","5.318","844.143.388,93"
"06.10.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,621121","234.156.685,00","5.320","847.909.691,94"
"09.10.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,614999","229.074.704,00","5.324","828.104.823,63"
"10.10.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,678704","228.318.432,00","5.344","839.916.033,12"
"11.10.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,728951","227.939.566,00","5.367","849.975.510,74"
"12.10.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,730435","230.467.088,00","5.360","859.742.462,73"
"13.10.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,748379","230.537.163,00","5.367","864.140.717,70"
"16.10.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,722360","230.565.065,00","5.392","858.246.207,14"
"17.10.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,675485","230.797.119,00","5.427","848.291.410,30"
"18.10.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,671433","230.834.425,00","5.425","847.493.095,73"
"19.10.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,683291","226.302.595,00","5.425","833.538.419,25"
"20.10.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,686146","227.662.751,00","5.416","839.198.088,83"
"23.10.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,622328","230.720.099,00","5.434","835.743.872,99"
"24.10.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,585734","230.859.596,00","5.430","827.801.014,68"
"25.10.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,652532","227.520.343,00","5.431","831.025.408,36"
"26.10.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,599509","227.790.844,00","5.422","819.935.171,50"
"27.10.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,581341","227.969.609,00","5.412","816.436.826,38"
"30.10.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,575880","227.547.038,00","5.405","813.680.889,69"
"31.10.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,605935","222.523.946,00","5.397","802.406.844,15"
"01.11.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,600631","222.999.417,00","5.401","802.938.510,78"
"02.11.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,644604","222.959.666,00","5.399","812.599.625,65"
"03.11.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,735778","223.177.915,00","5.421","833.743.239,49"
"06.11.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,766719","223.254.610,00","5.451","840.937.427,89"
"07.11.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,814418","224.322.290,00","5.620","855.658.968,88"
"08.11.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,803297","225.533.436,00","5.717","857.770.705,98"
"09.11.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,853133","227.108.859,00","5.786","875.080.643,33"
"10.11.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,859206","228.280.671,00","5.846","880.982.125,51"
"13.11.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,870358","229.295.487,00","5.921","887.455.599,08"
"14.11.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,914251","232.545.046,00","5.977","910.239.614,61"
"15.11.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,935576","233.600.320,00","6.067","919.351.756,17"
"16.11.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,999562","235.758.683,00","6.156","942.931.518,40"
"17.11.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","4,021407","238.887.493,00","6.344","960.663.769,47"
"20.11.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","4,034765","239.760.331,00","6.510","967.376.478,75"
"21.11.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","4,065193","242.341.507,00","6.736","985.164.961,81"
"22.11.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","4,120847","245.325.603,00","6.956","1.010.949.363,20"
"23.11.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","4,104934","252.886.323,00","6.956","1.038.081.552,84"
"24.11.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","4,131096","252.886.323,00","7.092","1.044.697.709,23"
"27.11.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","4,144538","258.738.511,00","7.375","1.072.351.717,22"
"28.11.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","4,150775","264.563.415,00","7.577","1.098.143.174,47"
"29.11.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","4,141757","269.225.496,00","7.707","1.115.066.537,80"
"30.11.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","4,169655","271.010.210,00","7.790","1.130.019.017,85"
"01.12.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","4,157919","274.226.554,00","7.856","1.140.211.935,53"
"04.12.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","4,136776","277.829.797,00","8.094","1.149.319.626,51"
"05.12.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","4,124991","280.254.504,00","8.522","1.156.047.216,96"
"06.12.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","4,119870","281.876.278,00","8.744","1.161.293.633,15"
"07.12.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","4,138118","279.265.656,00","8.859","1.155.634.290,01"
"08.12.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","4,104106","279.855.879,00","8.965","1.148.558.136,39"
"11.12.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","4,114805","281.279.074,00","9.030","1.157.408.596,76"
