"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"12.06.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","2,886278","247.017.293,00","3.954","712.960.509,12"
"13.06.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","2,911158","246.484.300,00","4.011","717.554.742,81"
"14.06.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","2,940731","247.870.053,00","4.070","728.919.173,72"
"15.06.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","2,952359","248.203.185,00","4.101","732.784.816,39"
"16.06.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","2,977850","248.814.466,00","4.134","740.932.193,36"
"19.06.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,000479","249.953.646,00","4.134","749.980.624,25"
"20.06.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","2,983968","249.953.646,00","4.158","745.853.577,71"
"21.06.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","2,927951","249.387.962,00","4.225","730.195.611,94"
"22.06.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","2,906393","246.282.596,00","4.220","715.794.021,85"
"23.06.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","2,918172","245.479.910,00","4.135","716.352.607,85"
"26.06.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,086250","244.999.219,00","4.146","756.128.910,78"
"27.06.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,167375","246.643.304,00","4.173","781.211.871,89"
"03.07.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,170037","247.540.104,00","4.179","784.711.330,60"
"04.07.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,262433","248.133.280,00","4.179","809.518.270,92"
"05.07.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,267903","248.133.280,00","4.237","810.875.406,16"
"06.07.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,282040","246.271.240,00","4.357","808.272.036,83"
"07.07.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,252227","247.016.112,00","4.387","803.352.528,69"
"10.07.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,272037","247.730.292,00","4.398","810.582.708,18"
"11.07.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,269821","247.851.576,00","4.453","810.430.362,30"
"12.07.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,293746","248.246.366,00","4.471","817.660.351,35"
"13.07.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,335768","248.490.770,00","4.488","828.907.680,27"
"14.07.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,367196","249.109.407,00","4.545","838.800.206,41"
"17.07.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,408353","251.456.491,00","4.596","857.052.378,92"
"18.07.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,421911","252.846.587,00","4.672","865.218.501,02"
"19.07.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,480286","253.732.850,00","4.725","883.062.839,88"
"20.07.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,543602","255.892.255,00","4.758","906.780.213,86"
"21.07.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,529679","257.355.696,00","4.824","908.383.120,24"
"24.07.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,504271","258.640.225,00","4.874","906.345.399,81"
"25.07.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,493387","256.315.349,00","4.929","895.408.656,88"
"26.07.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,506809","256.649.531,00","4.975","900.020.858,48"
"27.07.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,512510","256.998.318,00","4.986","902.709.151,09"
"28.07.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,559580","257.495.064,00","5.029","916.574.352,90"
"31.07.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,555243","262.358.549,00","5.070","932.748.520,87"
"01.08.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,575764","264.336.332,00","5.130","945.204.224,76"
"02.08.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,563115","264.818.490,00","5.200","943.578.632,31"
"03.08.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,547320","265.155.888,00","5.209","940.592.675,24"
"04.08.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,498982","272.322.782,00","5.228","952.852.395,51"
"07.08.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,497339","271.957.027,00","5.251","951.125.943,85"
"08.08.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,498056","272.300.445,00","5.256","952.522.214,07"
"09.08.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,466103","261.918.585,00","5.253","907.836.739,14"
"10.08.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,459395","262.151.270,00","5.223","906.884.889,54"
"11.08.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,436453","255.167.075,00","5.203","876.869.644,46"
"14.08.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,414127","251.888.522,00","5.183","859.979.465,72"
"15.08.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,416585","251.368.738,00","5.170","858.822.763,60"
"16.08.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,444851","249.956.167,00","5.173","861.061.668,89"
"17.08.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,420171","249.765.926,00","5.120","854.242.059,94"
"18.08.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,396722","248.576.477,00","5.115","844.345.246,43"
"21.08.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,323286","243.002.673,00","5.102","807.567.345,95"
"22.08.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,406242","242.624.507,00","5.101","826.437.882,56"
"23.08.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,447036","241.707.950,00","5.103","833.176.028,15"
"24.08.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,443391","236.891.623,00","5.082","815.710.582,35"
"25.08.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,461404","237.418.744,00","5.087","821.802.265,02"
"28.08.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,341385","238.763.365,00","5.089","797.800.428,24"
"29.08.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,396789","242.759.601,00","5.092","824.603.181,29"
"31.08.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,423980","243.098.284,00","5.106","832.363.613,49"
"01.09.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,541165","241.563.144,00","5.118","855.414.901,79"
"04.09.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,558790","241.660.110,00","5.118","860.017.676,47"
"05.09.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,566412","241.660.110,00","5.130","861.859.504,84"
"06.09.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,571191","241.928.035,00","5.194","863.971.198,40"
"07.09.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,597794","241.954.743,00","5.208","870.503.394,36"
"08.09.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,552964","241.629.966,00","5.178","858.502.514,56"
"11.09.2023","OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","3,590894","241.585.491,00","5.192","867.507.978,89"
