"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"11.09.2023","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,460146","4.126.434.444,00","21.312","1.898.762.581,83"
"12.09.2023","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,462687","4.121.184.444,00","21.287","1.906.817.910,52"
"13.09.2023","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,463952","4.116.746.444,00","21.248","1.909.973.717,67"
"14.09.2023","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,463533","4.043.794.444,00","21.102","1.874.433.793,72"
"15.09.2023","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,466584","4.032.078.444,00","21.063","1.881.303.438,09"
"18.09.2023","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,467735","3.983.129.863,00","21.052","1.863.048.119,42"
"19.09.2023","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,464423","3.959.795.863,00","21.058","1.839.020.304,34"
"20.09.2023","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,463275","3.951.483.863,00","21.028","1.830.625.517,10"
"21.09.2023","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,464461","3.938.709.863,00","20.945","1.829.378.157,72"
"22.09.2023","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,453600","3.924.474.769,00","20.890","1.780.142.874,59"
"25.09.2023","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,454372","3.916.412.769,00","20.875","1.779.509.977,30"
"26.09.2023","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,451678","3.892.744.769,00","20.893","1.758.266.827,15"
"27.09.2023","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,449893","3.873.210.119,00","20.860","1.742.530.387,14"
"28.09.2023","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,449556","3.836.788.119,00","20.684","1.724.849.313,92"
"29.09.2023","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,448581","3.828.216.119,00","20.452","1.717.263.815,39"
"02.10.2023","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,457434","3.822.476.539,00","20.355","1.748.531.744,59"
"03.10.2023","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,453695","3.822.982.539,00","20.339","1.734.466.542,97"
"04.10.2023","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,450467","3.824.766.109,00","20.327","1.722.931.051,30"
"05.10.2023","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,448609","3.750.634.109,00","20.303","1.682.568.039,70"
"06.10.2023","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,449970","3.749.168.109,00","20.247","1.687.012.913,45"
"09.10.2023","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,449654","3.750.162.109,00","20.247","1.686.273.975,94"
"10.10.2023","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,451452","3.750.162.109,00","20.191","1.693.018.786,89"
"11.10.2023","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,464131","3.742.706.109,00","20.195","1.737.107.634,05"
"12.10.2023","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,469191","3.728.492.109,00","20.190","1.749.376.596,14"
"13.10.2023","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,469136","3.715.866.109,00","20.075","1.743.248.069,96"
"16.10.2023","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,467335","3.718.545.109,00","20.051","1.737.806.623,42"
"17.10.2023","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,465860","3.713.821.109,00","19.992","1.730.119.136,72"
"18.10.2023","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,464644","3.703.461.109,00","19.909","1.720.792.542,57"
"19.10.2023","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,466245","3.699.673.109,00","19.806","1.724.952.738,65"
