"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"28.12.2023","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,541466","3.896.522.732,00","22.120","2.109.836.464,98"
"29.12.2023","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,545060","3.905.874.732,00","22.120","2.128.934.313,48"
"02.01.2024","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,545555","3.905.874.732,00","22.201","2.130.868.051,33"
"03.01.2024","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,544370","3.576.107.619,00","22.366","1.946.724.970,16"
"04.01.2024","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,540119","3.590.343.619,00","22.578","1.939.213.865,62"
"05.01.2024","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,539769","3.639.812.270,00","22.626","1.964.658.776,54"
"08.01.2024","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,538251","3.652.984.270,00","22.697","1.966.220.686,76"
"09.01.2024","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,539037","3.643.640.270,00","22.794","1.964.055.826,45"
"10.01.2024","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,544221","3.625.656.270,00","22.872","1.973.157.118,08"
"11.01.2024","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,548251","3.632.520.270,00","22.829","1.991.533.931,69"
"12.01.2024","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,553786","3.662.680.270,00","22.870","2.028.341.911,60"
"15.01.2024","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,553948","3.683.527.028,00","22.870","2.040.482.088,97"
"16.01.2024","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,554390","3.683.527.028,00","22.939","2.042.109.501,09"
"17.01.2024","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,549876","3.699.389.028,00","23.306","2.034.205.552,52"
"18.01.2024","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,542860","3.714.841.028,00","23.382","2.016.638.729,07"
"19.01.2024","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,547897","3.715.401.219,00","23.287","2.035.657.732,84"
"22.01.2024","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,550249","3.714.811.219,00","23.286","2.044.071.540,86"
"23.01.2024","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,555626","3.716.895.219,00","23.344","2.065.203.792,30"
"24.01.2024","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,559541","3.715.603.219,00","23.425","2.079.031.710,57"
"25.01.2024","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,566332","3.720.323.219,00","23.464","2.106.936.342,69"
"26.01.2024","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,567089","3.731.045.219,00","23.691","2.115.834.860,92"
"29.01.2024","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,565784","3.752.077.219,00","23.870","2.122.864.263,08"
"30.01.2024","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,568445","3.787.589.219,00","24.054","2.153.037.128,00"
"31.01.2024","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,570658","3.793.895.219,00","24.105","2.165.016.875,61"
"01.02.2024","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,564119","3.801.779.219,00","24.117","2.144.654.346,72"
"02.02.2024","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,562807","3.810.059.219,00","24.192","2.144.327.483,23"
"05.02.2024","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,567387","3.804.069.219,00","24.102","2.158.379.871,25"
"06.02.2024","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,572694","3.801.961.219,00","24.011","2.177.359.603,25"
"07.02.2024","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,578298","3.794.049.219,00","24.050","2.194.092.398,17"
"08.02.2024","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,579987","3.804.217.219,00","24.081","2.206.397.985,62"
"09.02.2024","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,581465","3.825.597.219,00","24.170","2.224.452.595,15"
"12.02.2024","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,584891","3.843.043.219,00","24.256","2.247.762.699,17"
"13.02.2024","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,591299","3.855.997.219,00","24.493","2.280.045.580,13"
"14.02.2024","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,582677","3.873.609.219,00","24.643","2.257.064.190,64"
"15.02.2024","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,586706","3.864.069.219,00","24.646","2.267.072.584,59"
"16.02.2024","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,591149","3.873.965.219,00","24.790","2.290.092.340,95"
"19.02.2024","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,595783","3.891.979.219,00","24.790","2.318.773.363,16"
"20.02.2024","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,596904","3.891.979.219,00","24.883","2.323.138.944,25"
"21.02.2024","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,596251","3.900.755.219,00","25.388","2.325.827.550,63"
"22.02.2024","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,595303","3.934.907.219,00","25.518","2.342.460.337,17"
"23.02.2024","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,612080","3.943.801.219,00","25.453","2.413.923.536,98"
"26.02.2024","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,617538","3.978.869.219,00","25.534","2.457.103.315,43"
"27.02.2024","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,617278","3.995.347.219,00","25.905","2.466.238.943,52"
"28.02.2024","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,629921","4.036.843.219,00","26.150","2.542.892.635,55"
"29.02.2024","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,632680","4.051.435.219,00","26.389","2.563.263.568,25"
"01.03.2024","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,633841","4.115.453.219,00","26.760","2.608.541.795,53"
"04.03.2024","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,636160","4.185.603.219,00","27.245","2.662.712.871,34"
"05.03.2024","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,646566","4.273.637.219,00","27.958","2.763.188.916,12"
"06.03.2024","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,641433","4.348.035.219,00","28.572","2.788.973.156,70"
"07.03.2024","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,646066","4.467.312.888,00","28.948","2.886.177.532,13"
"08.03.2024","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,648516","4.531.304.891,00","29.571","2.938.621.642,09"
"11.03.2024","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,654117","4.709.028.099,00","29.943","3.080.254.490,86"
