"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"11.09.2023","TUA","TEB PORTFÖY ALTIN FONU","0,372208","4.951.521.250,21","10.883","1.842.994.312,27"
"12.09.2023","TUA","TEB PORTFÖY ALTIN FONU","0,371676","4.953.664.898,21","10.864","1.841.160.641,50"
"13.09.2023","TUA","TEB PORTFÖY ALTIN FONU","0,371474","4.952.263.112,21","10.841","1.839.637.375,75"
"14.09.2023","TUA","TEB PORTFÖY ALTIN FONU","0,371978","4.942.499.366,21","10.829","1.838.502.211,39"
"15.09.2023","TUA","TEB PORTFÖY ALTIN FONU","0,370055","4.942.349.911,21","10.819","1.828.939.417,12"
"18.09.2023","TUA","TEB PORTFÖY ALTIN FONU","0,370774","4.905.381.141,21","10.804","1.818.785.906,81"
"19.09.2023","TUA","TEB PORTFÖY ALTIN FONU","0,372319","4.906.983.192,21","10.796","1.826.964.426,63"
"20.09.2023","TUA","TEB PORTFÖY ALTIN FONU","0,373873","4.897.096.677,21","10.779","1.830.892.600,97"
"21.09.2023","TUA","TEB PORTFÖY ALTIN FONU","0,374201","4.885.535.768,21","10.774","1.828.172.248,69"
"22.09.2023","TUA","TEB PORTFÖY ALTIN FONU","0,373241","4.884.102.304,21","10.769","1.822.945.586,32"
"25.09.2023","TUA","TEB PORTFÖY ALTIN FONU","0,374226","4.866.978.344,21","10.778","1.821.350.132,73"
"26.09.2023","TUA","TEB PORTFÖY ALTIN FONU","0,374042","4.867.714.236,21","10.747","1.820.729.165,70"
"27.09.2023","TUA","TEB PORTFÖY ALTIN FONU","0,375016","4.834.891.915,21","10.733","1.813.163.929,05"
"28.09.2023","TUA","TEB PORTFÖY ALTIN FONU","0,371313","4.831.292.873,21","10.711","1.793.922.923,42"
"29.09.2023","TUA","TEB PORTFÖY ALTIN FONU","0,369667","4.818.989.296,21","10.720","1.781.421.205,37"
"02.10.2023","TUA","TEB PORTFÖY ALTIN FONU","0,367370","4.809.856.176,21","10.718","1.766.996.851,14"
"03.10.2023","TUA","TEB PORTFÖY ALTIN FONU","0,364528","4.808.110.317,21","10.698","1.752.689.036,31"
"04.10.2023","TUA","TEB PORTFÖY ALTIN FONU","0,362257","4.829.802.547,21","10.682","1.749.629.001,49"
"05.10.2023","TUA","TEB PORTFÖY ALTIN FONU","0,366454","4.822.426.636,21","10.675","1.767.197.105,89"
"06.10.2023","TUA","TEB PORTFÖY ALTIN FONU","0,362766","4.829.971.448,21","10.663","1.752.150.748,58"
"09.10.2023","TUA","TEB PORTFÖY ALTIN FONU","0,362112","4.831.412.286,21","10.660","1.749.513.604,65"
"10.10.2023","TUA","TEB PORTFÖY ALTIN FONU","0,366603","4.829.783.928,21","10.686","1.770.613.360,64"
"11.10.2023","TUA","TEB PORTFÖY ALTIN FONU","0,375868","4.842.735.723,21","10.696","1.820.228.992,75"
"12.10.2023","TUA","TEB PORTFÖY ALTIN FONU","0,375005","4.834.113.725,21","10.720","1.812.816.450,59"
"13.10.2023","TUA","TEB PORTFÖY ALTIN FONU","0,378755","4.844.936.050,21","10.765","1.835.041.508,11"
"16.10.2023","TUA","TEB PORTFÖY ALTIN FONU","0,378747","4.854.937.517,21","10.761","1.838.792.033,10"
"17.10.2023","TUA","TEB PORTFÖY ALTIN FONU","0,382685","4.852.518.211,21","10.778","1.856.986.926,04"
"18.10.2023","TUA","TEB PORTFÖY ALTIN FONU","0,385056","4.852.470.181,21","10.793","1.868.472.659,15"
"19.10.2023","TUA","TEB PORTFÖY ALTIN FONU","0,402032","4.908.126.742,21","10.848","1.973.221.581,78"
"20.10.2023","TUA","TEB PORTFÖY ALTIN FONU","0,394841","4.924.277.952,21","10.884","1.944.307.441,57"
"23.10.2023","TUA","TEB PORTFÖY ALTIN FONU","0,398583","4.920.370.451,21","10.906","1.961.174.689,63"
"24.10.2023","TUA","TEB PORTFÖY ALTIN FONU","0,400192","4.926.921.135,21","10.942","1.971.714.196,53"
"25.10.2023","TUA","TEB PORTFÖY ALTIN FONU","0,400804","4.926.311.667,21","10.953","1.974.483.769,03"
"26.10.2023","TUA","TEB PORTFÖY ALTIN FONU","0,407049","4.917.385.067,21","10.943","2.001.618.138,51"
"27.10.2023","TUA","TEB PORTFÖY ALTIN FONU","0,401870","4.881.695.626,21","10.980","1.961.806.649,34"
"30.10.2023","TUA","TEB PORTFÖY ALTIN FONU","0,401201","4.867.066.152,21","11.012","1.952.673.326,12"
"31.10.2023","TUA","TEB PORTFÖY ALTIN FONU","0,401732","4.871.853.787,21","10.998","1.957.177.267,46"
