"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"28.12.2023","TUA","TEB PORTFÖY ALTIN FONU","0,435409","4.314.434.764,21","11.554","1.878.545.454,63"
"29.12.2023","TUA","TEB PORTFÖY ALTIN FONU","0,438243","4.295.099.940,21","11.583","1.882.297.319,11"
"02.01.2024","TUA","TEB PORTFÖY ALTIN FONU","0,444259","4.307.748.421,21","11.607","1.913.756.503,21"
"03.01.2024","TUA","TEB PORTFÖY ALTIN FONU","0,446503","4.269.793.330,21","11.661","1.906.473.666,55"
"04.01.2024","TUA","TEB PORTFÖY ALTIN FONU","0,445703","4.287.968.526,21","11.726","1.911.159.213,63"
"05.01.2024","TUA","TEB PORTFÖY ALTIN FONU","0,446209","4.106.760.897,21","11.769","1.832.472.620,10"
"08.01.2024","TUA","TEB PORTFÖY ALTIN FONU","0,443443","4.763.526.049,21","11.809","2.112.354.073,69"
"09.01.2024","TUA","TEB PORTFÖY ALTIN FONU","0,444181","4.773.979.006,21","11.850","2.120.508.598,02"
"10.01.2024","TUA","TEB PORTFÖY ALTIN FONU","0,442232","4.785.238.465,21","11.918","2.116.186.068,55"
"11.01.2024","TUA","TEB PORTFÖY ALTIN FONU","0,441765","4.797.396.121,21","11.953","2.119.321.949,65"
"12.01.2024","TUA","TEB PORTFÖY ALTIN FONU","0,447864","4.818.503.344,21","11.975","2.158.034.972,77"
"15.01.2024","TUA","TEB PORTFÖY ALTIN FONU","0,447110","4.272.412.599,21","12.017","1.910.239.888,82"
"16.01.2024","TUA","TEB PORTFÖY ALTIN FONU","0,446147","4.276.633.738,21","12.104","1.908.005.199,78"
"17.01.2024","TUA","TEB PORTFÖY ALTIN FONU","0,455656","4.350.260.640,21","12.178","1.982.220.247,61"
"18.01.2024","TUA","TEB PORTFÖY ALTIN FONU","0,448947","4.388.117.258,21","12.245","1.970.031.807,05"
"19.01.2024","TUA","TEB PORTFÖY ALTIN FONU","0,450857","4.404.642.409,21","12.343","1.985.865.458,91"
"22.01.2024","TUA","TEB PORTFÖY ALTIN FONU","0,453996","4.439.024.582,21","12.384","2.015.299.923,89"
"23.01.2024","TUA","TEB PORTFÖY ALTIN FONU","0,448448","4.472.413.265,21","12.426","2.005.644.771,42"
