,Ticker,Open-Close,Close,Eff,PWin_OC,PWin
0,GIPTA.IS,1.0126862808609178,1.295908870346533,0.7814486836486583,0.353,0.561
1,OZKGY.IS,1.0836920922406716,0.8264324111188396,1.3112894383867995,0.472,0.532
2,SOKM.IS,1.33573082072628,1.7334346673262742,0.7705688860985859,0.474,0.521
3,TEZOL.IS,0.8984084574484961,1.3489659570353705,0.6659978724911139,0.491,0.521
4,BIENY.IS,1.0309452476202972,0.744540801409769,1.3846726004380534,0.573,0.514
5,DOHOL.IS,0.9384382471416065,0.9815844706718394,0.9560443091558878,0.439,0.5
6,PETUN.IS,1.1085069618954275,1.046867252230717,1.0588801584282683,0.36,0.491
7,PKENT.IS,2.0782622503695976,2.2086867427044594,0.940949302672428,0.504,0.491
8,VAKBN.IS,1.27580962472015,0.9487749435408793,1.3446915239548376,0.561,0.491
9,GSDHO.IS,1.3208008479480524,0.886677071322741,1.4896075365721226,0.556,0.481
10,HALKB.IS,1.2643347403014764,0.8084735275144173,1.5638542231414372,0.523,0.447
11,TOASO.IS,1.1399755521530115,1.040152657253257,1.0959694658314463,0.509,0.441
12,KRDMD.IS,1.0650398722965586,0.790396867080896,1.3474748150634475,0.482,0.394
13,SISE.IS,0.8575597556837982,0.6992209225215038,1.226450365059585,0.426,0.371
