,Ticker,Open-Close,Close,Eff,PWin_OC,PWin
0,CAT,0.8199854715904811,1.4362836999969504,0.5709077333344534,0.505,0.618
1,IBM,0.9152143897163298,1.6252261665409633,0.5631304790423224,0.393,0.615
2,AXP,0.7166967547974914,1.3166418831280091,0.5443368952344131,0.49,0.595
3,MCD,0.819251253523291,1.14340168357616,0.7165034521909746,0.419,0.584
4,V,0.7364411480562005,1.2828389526920903,0.5740713957202098,0.396,0.574
5,CRM,0.8034076874854662,1.7081468033468932,0.4703387823056499,0.457,0.573
6,TRV,0.9176547417408151,1.283937095029274,0.7147193934138124,0.407,0.564
7,JPM,0.8422191988092228,1.485313380141774,0.5670313147847847,0.407,0.563
8,JNJ,0.7423455107807895,1.087185733757865,0.6828138815019832,0.338,0.562
9,MSFT,0.9802667931753084,1.623153027125924,0.6039275267292832,0.467,0.561
10,CSCO,0.565155330086694,1.0450062586205522,0.5408152586882307,0.357,0.558
11,WMT,0.8872825852136023,1.3349200658003122,0.6646709476807946,0.366,0.548
12,VZ,0.8706774628415237,1.1616866599347604,0.7494942421826729,0.41,0.547
13,BA,0.6711054736834597,0.986334725079833,0.6804033728297877,0.449,0.545
14,GS,0.7433688333966387,1.1670201839860703,0.636980271290245,0.432,0.541
15,AAPL,0.6236075737778295,1.1397921372098965,0.5471239477966237,0.449,0.541
16,PG,0.7982351305477249,1.2039781341480307,0.6629980295386169,0.364,0.526
17,NKE,0.6392899129714241,0.852752936535842,0.7496777619651787,0.356,0.525
18,DIS,0.7633510457403426,1.1512330053190494,0.6630725858392061,0.362,0.523
19,HD,0.7851954759874882,1.3307599437975468,0.5900354001840491,0.374,0.521
20,MRK,0.8160776766394685,1.1798849036919583,0.6916587152576437,0.349,0.521
21,HON,0.8694658826939367,1.0639955668576675,0.81717058771378,0.411,0.514
22,UNH,0.7009606671224184,1.044614769921803,0.6710231247973744,0.529,0.486
23,CVX,0.8585829949814507,0.972455238264768,0.8829023292768633,0.57,0.486
24,AMGN,0.9464351664573465,1.2531864941683681,0.7552229224154015,0.459,0.476
25,MMM,0.8836826509273373,0.9468145290952703,0.9333218109482765,0.404,0.465
26,KO,0.8426890218468768,1.0325902207101472,0.8160923907136474,0.337,0.455
27,WBA,0.720032825123066,0.6800787361028694,1.0587492107886654,0.459,0.413
